model,request_id,label,user_id,role,clearance,trust_score,device_trust,operational_need,resource_id,classification,sensitivity,asset_id,action,location,location_risk,threat_level,n_threats,expected,decision,risk_score,reason,obligations,debug,ground_truth_match
RADAC,S1-01,calm-internal-routine,alice,analyst,2,0.85,0.9,0.5,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.1,0,ALLOW,ALLOW,29.54,risk 29.5 <= allow_below 32.0,[],"{""trust"": 0.87, ""sensitivity"": 0.6, ""threat"": 0.1, ""location_risk"": 0.1, ""operational_need"": 0.5}",match
RADAC,S1-02,calm-vpn-with-need,alice,analyst,2,0.85,0.85,0.65,customer_db,2,0.6,A_customer_db,read,vpn,0.35,0.15,0,ALLOW,ALLOW,31.35,risk 31.3 <= allow_below 32.0,[],"{""trust"": 0.85, ""sensitivity"": 0.6, ""threat"": 0.15, ""location_risk"": 0.35, ""operational_need"": 0.65}",match
RADAC,S1-03,moderate-threat-strong-need,alice,analyst,2,0.85,0.9,0.85,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.45,0,ALLOW,ALLOW,28.19,risk 28.2 <= allow_below 32.0,[],"{""trust"": 0.87, ""sensitivity"": 0.6, ""threat"": 0.45, ""location_risk"": 0.1, ""operational_need"": 0.85}",match
RADAC,S1-04,moderate-threat-internal-routine,alice,analyst,2,0.85,0.88,0.55,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.35,0,ALLOW,ALLOW_WITH_OBLIGATIONS,33.38,"risk 33.4 in trade-off band [32.0, 55.0]","[""require-mfa"", ""log-session""]","{""trust"": 0.862, ""sensitivity"": 0.6, ""threat"": 0.35, ""location_risk"": 0.1, ""operational_need"": 0.55}",match
RADAC,S1-05,elevated-threat-emergency-need,alice,analyst,2,0.85,0.85,0.92,customer_db,2,0.6,A_customer_db,read,vpn,0.4,0.55,0,ALLOW,ALLOW_WITH_OBLIGATIONS,33.58,"risk 33.6 in trade-off band [32.0, 55.0]","[""require-mfa"", ""log-session""]","{""trust"": 0.85, ""sensitivity"": 0.6, ""threat"": 0.55, ""location_risk"": 0.4, ""operational_need"": 0.92}",match
RADAC,S1-06,branch-low-threat-routine,alice,analyst,2,0.85,0.82,0.55,customer_db,2,0.6,A_customer_db,read,branch,0.3,0.2,0,ALLOW,ALLOW_WITH_OBLIGATIONS,34.12,"risk 34.1 in trade-off band [32.0, 55.0]","[""require-mfa"", ""log-session""]","{""trust"": 0.838, ""sensitivity"": 0.6, ""threat"": 0.2, ""location_risk"": 0.3, ""operational_need"": 0.55}",match
RADAC,S1-07,internal-mid-threat-mid-need,alice,analyst,2,0.85,0.88,0.6,customer_db,2,0.6,A_customer_db,read,internal,0.1,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,33.18,"risk 33.2 in trade-off band [32.0, 55.0]","[""require-mfa"", ""log-session""]","{""trust"": 0.862, ""sensitivity"": 0.6, ""threat"": 0.4, ""location_risk"": 0.1, ""operational_need"": 0.6}",match
RADAC,S1-08,vpn-low-threat-low-need,alice,analyst,2,0.85,0.85,0.55,customer_db,2,0.6,A_customer_db,read,vpn,0.35,0.2,0,ALLOW,ALLOW_WITH_OBLIGATIONS,34.62,"risk 34.6 in trade-off band [32.0, 55.0]","[""require-mfa"", ""log-session""]","{""trust"": 0.85, ""sensitivity"": 0.6, ""threat"": 0.2, ""location_risk"": 0.35, ""operational_need"": 0.55}",match
RADAC,S1-09,high-threat-public-low-need,alice,analyst,2,0.85,0.45,0.2,customer_db,2,0.6,A_customer_db,read,public,0.85,0.85,0,DENY,DENY,66.58,risk 66.6 >= deny_above 55.0,[],"{""trust"": 0.69, ""sensitivity"": 0.6, ""threat"": 0.85, ""location_risk"": 0.85, ""operational_need"": 0.2}",match
RADAC,S1-10,active-attack-public-routine,alice,analyst,2,0.85,0.55,0.3,customer_db,2,0.6,A_customer_db,read,public,0.85,0.92,0,DENY,DENY,64.69,risk 64.7 >= deny_above 55.0,[],"{""trust"": 0.73, ""sensitivity"": 0.6, ""threat"": 0.92, ""location_risk"": 0.85, ""operational_need"": 0.3}",match
