model,request_id,label,user_id,role,clearance,trust_score,device_trust,operational_need,resource_id,classification,sensitivity,asset_id,action,location,location_risk,threat_level,n_threats,expected,decision,risk_score,reason,obligations,debug,ground_truth_match
Improved-RADAC,S2-01,pay-targeted-severe,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,DENY,74.02,fuzzy=41.8 + ssa=32.2 = 74.0 >= 55.0,[],"{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 32.235976423595645, ""ssa_criticality"": 1.0, ""ssa_mission_impact"": 0.22877712287765675, ""ssa_ssa_risk"": 53.72662737265941}",match
Improved-RADAC,S2-02,pay-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,DENY,DENY,71.08,fuzzy=38.8 + ssa=32.2 = 71.1 >= 55.0,[],"{""risk"": 38.847566574839306, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.65, ""loc_risk"": 0.35, ""fuzzy_risk"": 38.847566574839306, ""ssa_extra"": 32.23370837055294, ""ssa_criticality"": 1.0, ""ssa_mission_impact"": 0.22871412140424824, ""ssa_ssa_risk"": 53.7228472842549}",match
Improved-RADAC,S2-03,pay-targeted-severe-with-noise,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,DENY,74.02,fuzzy=41.8 + ssa=32.2 = 74.0 >= 55.0,[],"{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 32.235976423595645, ""ssa_criticality"": 1.0, ""ssa_mission_impact"": 0.22877712287765675, ""ssa_ssa_risk"": 53.72662737265941}",match
Improved-RADAC,S2-04,pay-targeted-multi,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,2,DENY,DENY,74.02,fuzzy=41.8 + ssa=32.2 = 74.0 >= 55.0,[],"{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.5, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 32.23370837055294, ""ssa_criticality"": 1.0, ""ssa_mission_impact"": 0.22871412140424824, ""ssa_ssa_risk"": 53.7228472842549}",match
Improved-RADAC,S2-05,pay-quiet,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0}",match
Improved-RADAC,S2-06,pay-quiet-need,bob,analyst,2,0.85,0.85,0.75,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,34.84,fuzzy=34.8 + ssa=0.0 = 34.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 34.84022898776996, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.75, ""loc_risk"": 0.35, ""fuzzy_risk"": 34.84022898776996, ""ssa_extra"": 0.0}",match
Improved-RADAC,S2-07,pay-noise-only,bob,analyst,2,0.85,0.85,0.55,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,1,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0, ""ssa_criticality"": 1.0, ""ssa_mission_impact"": 0.0, ""ssa_ssa_risk"": 0.0}",match
Improved-RADAC,S2-08,pay-quiet-routine,bob,analyst,2,0.85,0.85,0.5,payment_gateway,2,0.6,A_payment_gateway,read,vpn,0.35,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.5, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0}",match
Improved-RADAC,S2-09,sbx-targeted-severe,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0, ""ssa_criticality"": 0.0, ""ssa_mission_impact"": 0.0, ""ssa_ssa_risk"": 0.0}",match
Improved-RADAC,S2-10,sbx-targeted-severe-need,bob,analyst,2,0.85,0.85,0.65,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,1,ALLOW,ALLOW_WITH_OBLIGATIONS,38.85,fuzzy=38.8 + ssa=0.0 = 38.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 38.847566574839306, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.65, ""loc_risk"": 0.35, ""fuzzy_risk"": 38.847566574839306, ""ssa_extra"": 0.0, ""ssa_criticality"": 0.0, ""ssa_mission_impact"": 0.0, ""ssa_ssa_risk"": 0.0}",match
Improved-RADAC,S2-11,sbx-targeted-noise,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,2,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0, ""ssa_criticality"": 0.0, ""ssa_mission_impact"": 0.0, ""ssa_ssa_risk"": 0.0}",match
Improved-RADAC,S2-12,sbx-targeted-multi,bob,analyst,2,0.85,0.85,0.5,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,2,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.5, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0, ""ssa_criticality"": 0.0, ""ssa_mission_impact"": 0.0, ""ssa_ssa_risk"": 0.0}",match
Improved-RADAC,S2-13,sbx-quiet,bob,analyst,2,0.85,0.85,0.55,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,41.79,fuzzy=41.8 + ssa=0.0 = 41.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 41.786941580756, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.55, ""loc_risk"": 0.35, ""fuzzy_risk"": 41.786941580756, ""ssa_extra"": 0.0}",match
Improved-RADAC,S2-14,sbx-quiet-need,bob,analyst,2,0.85,0.85,0.75,sandbox_kb,2,0.6,A_sandbox_kb,read,vpn,0.35,0.4,0,ALLOW,ALLOW_WITH_OBLIGATIONS,34.84,fuzzy=34.8 + ssa=0.0 = 34.8 in trade-off band,"[""require-mfa"", ""log-session"", ""step-up-monitor""]","{""risk"": 34.84022898776996, ""trust"": 0.8500000000000001, ""sensitivity"": 0.6, ""threat"": 0.4, ""op_need"": 0.75, ""loc_risk"": 0.35, ""fuzzy_risk"": 34.84022898776996, ""ssa_extra"": 0.0}",match
